instrumentIdentifier,SeniorityAndSecurity
58217372FMDL 1C00507UAH4,SeniorUnsecuredBond
58217381FMD1 1000507UAH4,SeniorUnsecuredBond
58218044FMDL 0700507UAH4,SeniorUnsecuredBond
62408421TXA1 1Y00507UAQ4,SeniorUnsecuredBond
53996281LUL0 1P00507UAR2,SeniorUnsecuredBond
53996731NMS0 L200507UAR2,SeniorUnsecuredBond
63437021NMS0 26 100507UAR2,SeniorUnsecuredBond
53520601NMS0 L200507UAS0,SeniorUnsecuredBond
57167801FMD1 0700507UAS0,SeniorUnsecuredBond
57167821NMS0 1C00507UAS0,SeniorUnsecuredBond
57168011HLT0 1000507UAS0,SeniorUnsecuredBond
57168021HHE0 1000507UAS0,SeniorUnsecuredBond
57168041LUL0 1P00507UAS0,SeniorUnsecuredBond
57168621LULT 0700507UAS0,SeniorUnsecuredBond
57168711NMS0 0700507UAS0,SeniorUnsecuredBond
61272231FMD3 2CG300507UAS0,SeniorUnsecuredBond
56817981HLT0 2600507UAT8,SeniorUnsecuredBond
56817991LUL0 1P00507UAT8,SeniorUnsecuredBond
56837621FMD1 0700507UAT8,SeniorUnsecuredBond
57711371FMD5 2600507UAT8,SeniorUnsecuredBond
57711482FMD1 0700507UAT8,SeniorUnsecuredBond
57716942FMD5 2600507UAT8,SeniorUnsecuredBond
57716993FMD1 0700507UAT8,SeniorUnsecuredBond
65377391NMS0 L600507UAT8,SeniorUnsecuredBond
56804041HLT0 2600507UAU5,SeniorUnsecuredBond
56804051LUL0 1P00507UAU5,SeniorUnsecuredBond
56805892HLT0 2600507UAU5,SeniorUnsecuredBond
56805902LUL0 1P00507UAU5,SeniorUnsecuredBond
61272281FMD3 2CG400507UAU5,SeniorUnsecuredBond
61272311FMD3T2CG500507UAU5,SeniorUnsecuredBond
62592271FMD3 2CG200507UAU5,SeniorUnsecuredBond
55325541FMD1 0700652MAB8,SeniorUnsecuredBond
55326052FMD1 0700652MAB8,SeniorUnsecuredBond
55328153FMD1 0700652MAB8,SeniorUnsecuredBond
30742462LTRL 0700724FAB7,SeniorUnsecuredBond
30742521TXA2 1Y00724FAB7,SeniorUnsecuredBond
30743171HLTB 2600724FAB7,SeniorUnsecuredBond
30839191FMD1 1000724FAB7,SeniorUnsecuredBond
30839432ESPS 1000724FAB7,SeniorUnsecuredBond
30839873ESPS 1000724FAB7,SeniorUnsecuredBond
30841912LTRM 2600724FAB7,SeniorUnsecuredBond
54929091ESPS 0700772BAN1,SeniorUnsecuredBond
54926921ESPS 0700772BAP6,SeniorUnsecuredBond
64763861LEQ5 2600774MAB1,SeniorUnsecuredBond
68409651NMS0 1Y00774MAF2,SeniorUnsecuredBond
659794914FMD5 0700793@AA7,SeniorUnsecuredBond
659795015FMD5 0700793@AA7,SeniorUnsecuredBond
659799414LUL0 0700793@AA7,SeniorUnsecuredBond
659799515LUL0 0700793@AA7,SeniorUnsecuredBond
662015716FMD5 0700793@AA7,SeniorUnsecuredBond
662017823LUL0 0700793@AA7,SeniorUnsecuredBond
672198717FMD5 0700793@AA7,SeniorUnsecuredBond
672198818FMD5 0700793@AA7,SeniorUnsecuredBond
672199616LUL0 0700793@AA7,SeniorUnsecuredBond
672199717LUL0 0700793@AA7,SeniorUnsecuredBond
683942621LUL0 0700793@AA7,SeniorUnsecuredBond
683942723FMD5 0700793@AA7,SeniorUnsecuredBond
697913122FMD5 0700793@AA7,SeniorUnsecuredBond
697913222LUL0 0700793@AA7,SeniorUnsecuredBond
698394219FMD5 0700793@AA7,SeniorUnsecuredBond
698394329FMD5 0700793@AA7,SeniorUnsecuredBond
698394421FMD5 0700793@AA7,SeniorUnsecuredBond
698396218LUL0 0700793@AA7,SeniorUnsecuredBond
698396329LUL0 0700793@AA7,SeniorUnsecuredBond
698396420LUL0 0700793@AA7,SeniorUnsecuredBond
710355824FMD5 0700793@AA7,SeniorUnsecuredBond
710355925FMD5 0700793@AA7,SeniorUnsecuredBond
710356026FMD5 0700793@AA7,SeniorUnsecuredBond
710358324LUL0 0700793@AA7,SeniorUnsecuredBond
710358425LUL0 0700793@AA7,SeniorUnsecuredBond
710358526LUL0 0700793@AA7,SeniorUnsecuredBond
712937430FMD5 0700793@AA7,SeniorUnsecuredBond
712937531FMD5 0700793@AA7,SeniorUnsecuredBond
712938227LUL0 0700793@AA7,SeniorUnsecuredBond
712938328LUL0 0700793@AA7,SeniorUnsecuredBond
715920332FMD5 0700793@AA7,SeniorUnsecuredBond
715920433FMD5 0700793@AA7,SeniorUnsecuredBond
715921030LUL0 0700793@AA7,SeniorUnsecuredBond
715921131LUL0 0700793@AA7,SeniorUnsecuredBond
44235071FMD5 0700802#AA4,SeniorSecuredBond
44235081ESPL 0700802#AA4,SeniorSecuredBond
18216181LTRM 2600817YAF5,SeniorUnsecuredBond
19682561HLT1 2600817YAF5,SeniorUnsecuredBond
19682821TXA2 1Y00817YAF5,SeniorUnsecuredBond
19682852TXA2 1Y00817YAF5,SeniorUnsecuredBond
41000341ESPS 0700817YAG3,SeniorUnsecuredBond
41000541HLT0 2600817YAG3,SeniorUnsecuredBond
41000552HLT0 2600817YAG3,SeniorUnsecuredBond
41004331FMD5 1C00817YAG3,SeniorUnsecuredBond
41004771LTRM 2600817YAG3,SeniorUnsecuredBond
41004772LTRM 2600817YAG3,SeniorUnsecuredBond
41004773LUL0 2600817YAG3,SeniorUnsecuredBond
41004781LTR0 2600817YAG3,SeniorUnsecuredBond
61043701NMS0 10 100817YAG3,SeniorUnsecuredBond
20848671TXA1 1Y00845WAD0,SubordinateBond
20849391NMS0 0700845WAD0,SubordinateBond
20849471NMS0 2300845WAD0,SubordinateBond
19661231LTR0 0700846NAA5,SubordinateBond
19661241FMD1 0700846NAA5,SubordinateBond
71334341LUL0 26009098A*5,SeniorUnsecuredBond
71334391HLT0 26009098A*5,SeniorUnsecuredBond
65833271LUL1 0700912XAY0,SeniorUnsecuredBond
70504971NMS0 26 100912XBE3,SeniorUnsecuredBond
60617201LTRM 2600913RAE6,SeniorUnsecuredBond
29056011ESPS 10009158AP1,SeniorUnsecuredBond
29072042ESPS 10009158AP1,SeniorUnsecuredBond
10504811FMD1D07009325AE1,SeniorSecuredBond
10504825FMD1 07009325AE1,SeniorSecuredBond
10504826FMD1 07009325AE1,SeniorSecuredBond
10504827FMD1 07009325AE1,SeniorSecuredBond
10504831FMD5 07009325AE1,SeniorSecuredBond
69776221FMD1 0700971YAF7,SeniorUnsecuredBond
69776231ESPS 1000971YAF7,SeniorUnsecuredBond
69790852FMD1 0700971YAF7,SeniorUnsecuredBond
69790862ESPS 1000971YAF7,SeniorUnsecuredBond
12318571ESPS 10010392EB0,SeniorUnsecuredBond
12318582ESPS 10010392EB0,SeniorUnsecuredBond
11479073FMD1 07010392EC8,SeniorUnsecuredBond
35162141LTRM 26010392FB9,SeniorUnsecuredBond
47510411ESPS 10010392FK9,SeniorUnsecuredBond
47510421TXA2 1Y010392FK9,SeniorUnsecuredBond
47510481TXA2 07010392FK9,SeniorUnsecuredBond
55257201LUL0 1P010392FL7,SeniorUnsecuredBond
55257541HLT0 26010392FL7,SeniorUnsecuredBond
55257552HLT0 26010392FL7,SeniorUnsecuredBond
55257191LUL0 1P010392FM5,SeniorUnsecuredBond
57441301LTRM 26010392FP8,SeniorUnsecuredBond
1873542LTRM 26010869CD5,SeniorUnsecuredBond
10121331HLT0 26012873AH8,SeniorUnsecuredBond
10121332HLT0 26012873AH8,SeniorUnsecuredBond
10639171LULT 07012873AK1,SeniorUnsecuredBond
10639182ESPL 07012873AK1,SeniorUnsecuredBond
12859581LTRM 26012873AK1,SeniorUnsecuredBond
9515671LEQ0 26012873AK1,SeniorUnsecuredBond
9515691LTRI 07012873AK1,SeniorUnsecuredBond
9515731ESPL 07012873AK1,SeniorUnsecuredBond
9593972LEQ0 26012873AK1,SeniorUnsecuredBond
9593991HLT0 26012873AK1,SeniorUnsecuredBond
59108511ESPL 07013093AB5,SeniorUnsecuredBond
59116511ESPS 07013093AB5,SeniorUnsecuredBond
