instrumentIdentifier,CNLP_rating
50989201LULA 0729252BAA7,A3
50989202LULA 0729252BAA7,A3
50989203LUL0 0729252BAA7,A3
50989205LUL0 0729252BAA7,A3
50989211NMS0 L229252BAA7,A3
40507241HHE0 07292766A#9,Baa3
40507301FMD1 26292766A#9,Baa3
40507591LUL0 1P292766A#9,Baa3
40507601ESPS 07292766A#9,Baa3
70017291ESPS 1030225VA@6,Baa2
70018001LEQ5 2630225VA@6,Baa2
64767851FMD1 0730225VA*8,Baa2
64767901FMD1 2630225VA*8,Baa2
64768351LEQ5 2630225VA*8,Baa2
61427081ESPS 1030288*AA8,Baa2
61427101LEQ0 2630288*AA8,Baa2
40016081LUL0 07318069B*1,Baa1
3621001LUL0 0733632*TW7,Baa1
3621012FMD1 0733632*TW7,Baa1
31510501ESPS 07344868AA2,A2
31510701LULI 07344868AA2,A2
31511381FMD1 07344868AA2,A2
51788221HHE0 2634487#AB3,A2
51788881NMS0 L5 R34487#AB3,A2
51788231HLT0 2634487#AD9,A2
42440661LULI 0734488@AA6,A2
42440671LTRL 0734488@AA6,A2
70298391FMD1 0734489*AC3,A2
70298451LEQ0 1C34489*AD1,A2
70298481ESPS 0734489*AD1,A2
70298751LEQ0 0734489*AD1,A2
70298721LULT 0734489*AE9,A2
70298731LTRI 0734489*AE9,A2
15033611LTRM 2636720#AD1,A3
15033622LUL0 0736720#AD1,A3
15033623LUL0 0736720#AD1,A3
3749061LUL0 0738121@AA0,A2
3749071ESPL 0738121@AA0,A2
10883141HLT0 2639278*AA1,Ba2
10883155FMD1 0739278*AA1,Ba2
10883163FMD1 0739278*AA1,Ba2
10883171ESPL 0739278*AA1,Ba2
63079211LULB 0740465@AC6,Baa2
69937211FMD1 0740465@AE2,Baa2
69937221NMS0 2340465@AE2,Baa2
69937971LULT 0740465@AE2,Baa2
70186321FMD1 0740465@AF9,Baa2
70186611ESPL 1040465@AF9,Baa2
45226011ESPS 0741242*AR3,A3
45225992LUL0 1041242*AS1,A3
45225993LUL0 1041242*AS1,A3
45225994LUL0 1041242*AS1,A3
45225995LUL0 1041242*AS1,A3
45225996LUL0 1041242*AS1,A3
45225997LUL0 1041242*AS1,A3
45225998LUL0 1041242*AS1,A3
45225999LUL0 1041242*AS1,A3
45225471HHE0 0741242*AT9,A3
53917981FMD1 0741242*AX0,A3
53918161ESPL 1041242*AY8,A3
57974961ESPS 1041242*BC5,A3
57974971ESPS 1041242*BD3,A3
70826201NMS0 1041242*BK7,A3
70826221HHE0 0741242*BK7,A3
70772541NMS0 1041242*BM3,A3
70772551ESPL 0741242*BM3,A3
70775011LULT 0741242*BM3,A3
70775191LEQ0 2641242*BM3,A3
70775201LTR0 2641242*BM3,A3
70826231LTR0 2641242*BN1,A3
70826241HLT0 2641242*BN1,A3
43090931HHE0 0742210#AA2,A2
43090941ESPS 1042210#AA2,A2
43091201ESPS 0742210#AA2,A2
43983115LTR0 0742210#AA2,A2
43983122ESPS 1042210#AA2,A2
43984172ESPS 0742210#AA2,A2
45133093LTR0 0742210#AA2,A2
45133123ESPS 1042210#AA2,A2
45133213ESPS 0742210#AA2,A2
46312024LTR0 0742210#AA2,A2
46312054ESPS 1042210#AA2,A2
46312184ESPS 0742210#AA2,A2
3689922FMD1 0742210*BC1,A3
4487632ESPL 0742210*BH0,A3
4487633ESPL 0742210*BH0,A3
4487634ESPL 0742210*BH0,A3
46179524NMS0 1042212#AA0,A2
46179691LUL0 0742212#AA0,A2
47844825NMS0 1042212#AA0,A2
47845193LUL0 0742212#AA0,A2
49536176NMS0 1042212#AA0,A2
49536364LUL0 0742212#AA0,A2
13002251LEQ0 2642251#AB0,A2
13002271LEQ0 2642251#AC8,A3
17727481ESPL 0742251#AH7,A3
58377231FMD5 0742251#BC7,A3
58377391HLTB 2642251#BC7,A3
58377381HLTB 2642251#BD5,A3
32732571ESPS 1044569*BL4,B1
32732541LTRI 0744569*BM2,B1
32732633FMD5 0744569*BM2,B1
32732634FMD5 0744569*BM2,B1
52112851HHE0 2344569*BP5,B1
52112861LTR0 0744569*BP5,B1
52113031ESPS 0744569*BP5,B1
57362891ESPS 1044929@AK0,A3
65512351LTRL 07450636B#1,Baa2
65512531LULT 07450636B#1,Baa2
65512591LTRI 07450636B#1,Baa2
65512041FMD1 07450636B*5,Baa2
65512231LUL1 07450636B*5,Baa2
58492731ESPS 1045662NA#0,Baa2
58492851ESPL 1045662NA#0,Baa2
58492881ESPS 0745662NA#0,Baa2
58492751HLTB 2645662NA@2,Baa2
58492752HLTB 2645662NA@2,Baa2
58492763HLTB 2645662NA@2,Baa2
58492764HLTB 2645662NA@2,Baa2
58492861LEQ0 2645662NA*4,Baa2
50052571ESPS 1046361*AC0,A1
50052821NMS0 2646361*AC0,A1
41436841HLT0 2646361*AD8,A1
41436861ESPS 0746361*AD8,A1
41436871LTRI 0746361*AD8,A1
59762401ESPS 10466313A@2,Ba1
59763241LEQ0 26466313A@2,Ba1
68176971FMD5 10469814A@6,Baa2
68177621HLT3 26469814A@6,Baa2
68177631HLT4 26469814A@6,Baa2
68176952ESPS 10469814A*8,Baa2
68176962NMS0 23469814A*8,Baa2
68177062ESPL 10469814A*8,Baa2
68177272LTRL 07469814A*8,Baa2
40297261HLT0 2648121@AA9,Baa3
40296091ESPS 1048121@AB7,Baa3
40296111FMD1 2648121@AB7,Baa3
40297271HLT0 2648121@AB7,Baa3
49146821ESPS 1048121@AC5,Baa3
49146901ESPS 0748121@AD3,Baa3
43017051ESPS 10497266A#3,Baa2
43954862ESPS 10497266A#3,Baa2
43017581LUL0 1P497266B*6,Baa2
43957222LUL0 1P497266B*6,Baa2
587701HHE0 2652465#AA3,Ba2
3703931LULX 0752465#AC9,Ba2
3703941FMD1 0752465#AC9,Ba2
3703951LEQ0 1052465#AC9,Ba2
60102041FMD1 0755335@AA6,A3
59528021HHE0 0755335@AB4,A3
60102182HHE0 0755335@AB4,A3
63294861FMD1 0755335@AD0,A3
63294881FMD1 0755335@AE8,A3
63294871LULB 0755335@AF5,A3
54968161HHE0 23553799AE7,A3
54968171ESPS 07553799AE7,A3
54968181HHE0 07553799AE7,A3
62414891LUL0 0756081#BH2,A2
62414901ESPS 0756081#BH2,A2
66204761LUL1 0756081#BL3,A2
68513531LUL0 1P56081#BP4,A2
3708211LULX 07564759L*7,Baa1
25911631LTRM 2657169*AM9,A2
25911781HLT0 2657169*AM9,A2
25911931ESPS 0757169*AM9,A2
25912561LTR0 2657169*AM9,A2
25912591ESPS 1057169*AM9,A2
42318431ESPS 1057169*AR8,A2
42319472LTRL 0757169*AT4,A2
60651741ESPS 0757169*BA4,A2
60633681LUL0 1P57169*BB2,A2
60651731LUL0 0757169*BC0,A2
62942671LUL5 2657169*BF3,A2
